nr fid_n2000 X Y
  864 191 -9170 684137
  865 191 -9170 683637
  866 191 -9170 683137
  867 191 -9170 682637
  868 191 -9170 682137
  869 191 -9170 681637
  870 191 -9170 681137
  871 191 -9170 680637
  872 191 -9170 680137
  873 191 -9170 679637
  874 191 -9170 679137
  875 191 -9170 678637
  876 191 -9170 678137
  877 191 -9170 677637
  878 191 -9170 677137
  879 191 -9170 676637
  880 191 -9170 676137
  881 191 -9170 675637
  882 191 -9170 675137
  883 191 -9170 674637
  884 191 -9170 674137
  885 191 -9170 673637
  886 191 -9170 673137
  887 191 -9170 672637
  888 191 -9170 672137
  889 191 -9170 671637
  890 191 -9170 671137
  891 191 -9170 670637
  892 191 -9170 670137
  893 191 -9170 669637
  894 191 -9170 669137
  895 191 -9170 668637
  896 191 -9170 668137
  897 191 -9170 667637
  898 191 -9170 667137
  899 191 -9170 666637
  900 191 -9170 666137
  901 191 -9170 665637
  902 191 -9170 665137
  903 191 -9170 664637
  904 191 -9170 664137
  905 191 -9170 663637
  906 191 -9170 663137
  907 191 -9170 662637
  908 191 -9170 662137
  909 191 -9170 661637
  910 191 -9170 661137
  911 191 -9170 660637
  912 191 -9170 660137
  913 191 -9167 659637
  914 191 -9149 659140
  915 191 -9118 658645
  916 191 -9083 658148
  917 191 -9047 657652
  918 191 -9011 657160
  919 191 -8971 656672
  920 191 -8923 656154
  921 190 -8476 732857
  922 190 -8592 732332
  923 190 -8679 731865
  924 190 -8737 731387
  925 190 -8737 730887
  926 190 -8737 730387
  927 190 -8737 729887
  928 190 -8737 729387
  929 190 -8737 728887
  930 190 -8737 728387
  931 190 -8737 727887
  932 190 -8737 727387
  933 190 -8737 726887
  934 190 -8737 726387
  935 190 -8737 725887
  936 190 -8737 725387
  937 190 -8737 724887
  938 190 -8737 724387
  939 190 -8737 723887
  940 190 -8737 723387
  941 190 -8737 722887
  942 190 -8737 722387
  943 190 -8737 721887
  944 190 -8737 721387
  945 190 -8841 720985
  946 191 -8742 703697
  947 191 -8737 703387
  948 191 -8737 702887
  949 191 -8737 702387
  950 191 -8737 701887
  951 191 -8737 701387
  952 191 -8737 700887
  953 191 -8737 700387
  954 191 -8737 699887
  955 191 -8737 699387
  956 191 -8737 698887
  957 191 -8737 698387
  958 191 -8737 697887
  959 191 -8737 697387
  960 191 -8737 696887
  961 191 -8737 696387
  962 191 -8737 695887
  963 191 -8737 695387
  964 191 -8737 694887
  965 191 -8737 694387
  966 191 -8737 693887
  967 191 -8737 693387
  968 191 -8737 692887
  969 191 -8737 692387
  970 191 -8737 691887
  971 191 -8737 691387
  972 191 -8737 690887
  973 191 -8737 690387
  974 191 -8737 689887
  975 191 -8737 689387
  976 191 -8737 688887
  977 191 -8737 688387
  978 191 -8737 687887
  979 191 -8737 687387
  980 191 -8737 686887
  981 191 -8737 686387
  982 191 -8737 685887
  983 191 -8737 685387
  984 191 -8737 684887
  985 191 -8737 684387
  986 191 -8737 683887
  987 191 -8737 683387
  988 191 -8737 682887
  989 191 -8737 682387
  990 191 -8737 681887
  991 191 -8737 681387
  992 191 -8737 680887
  993 191 -8737 680387
  994 191 -8737 679887
  995 191 -8737 679387
  996 191 -8737 678887
  997 191 -8737 678387
  998 191 -8737 677887
  999 191 -8737 677387
 1000 191 -8737 676887
 1001 191 -8737 676387
 1002 191 -8737 675887
 1003 191 -8737 675387
 1004 191 -8737 674887
 1005 191 -8737 674387
 1006 191 -8737 673887
 1007 191 -8737 673387
 1008 191 -8737 672887
 1009 191 -8737 672387
 1010 191 -8737 671887
 1011 191 -8737 671387
 1012 191 -8737 670887
 1013 191 -8737 670387
 1014 191 -8737 669887
 1015 191 -8737 669387
 1016 191 -8737 668887
 1017 191 -8737 668387
 1018 191 -8737 667887
 1019 191 -8737 667387
 1020 191 -8737 666887
 1021 191 -8737 666387
 1022 191 -8737 665887
 1023 191 -8737 665387
 1024 191 -8737 664887
 1025 191 -8737 664387
 1026 191 -8737 663887
 1027 191 -8737 663387
 1028 191 -8737 662887
 1029 191 -8737 662387
 1030 191 -8737 661887
 1031 191 -8737 661387
 1032 191 -8737 660887
 1033 191 -8737 660387
 1034 191 -8737 659887
 1035 191 -8737 659387
 1036 191 -8737 658887
 1037 191 -8737 658387
 1038 191 -8737 657887
 1039 191 -8737 657387
 1040 191 -8737 656887
 1041 191 -8731 656387
 1042 191 -8708 655892
 1043 191 -8676 655396
 1044 191 -8640 654911
 1045 190 -8016 734136
 1046 190 -8147 733576
 1047 190 -8236 733111
 1048 190 -8301 732636
 1049 190 -8304 732137
 1050 190 -8304 731637
 1051 190 -8304 731137
 1052 190 -8304 730637
 1053 190 -8304 730137
 1054 190 -8304 729637
 1055 190 -8304 729137
 1056 190 -8304 728637
 1057 190 -8304 728137
 1058 190 -8304 727637
 1059 190 -8304 727137
 1060 190 -8304 726637
 1061 190 -8304 726137
 1062 190 -8304 725637
 1063 190 -8304 725137
 1064 190 -8304 724637
 1065 190 -8304 724137
 1066 190 -8304 723637
 1067 190 -8304 723137
 1068 190 -8304 722637
 1069 190 -8304 722137
 1070 190 -8337 721666
 1071 190 -8469 721296
 1072 191 -8306 703576
 1073 191 -8304 703137
 1074 191 -8304 702637
 1075 191 -8304 702137
 1076 191 -8304 701637
 1077 191 -8304 701137
 1078 191 -8304 700637
 1079 191 -8304 700137
 1080 191 -8304 699637
 1081 191 -8304 699137
 1082 191 -8304 698637
 1083 191 -8304 698137
 1084 191 -8304 697637
 1085 191 -8304 697137
 1086 191 -8304 696637
 1087 191 -8304 696137
 1088 191 -8304 695637
 1089 191 -8304 695137
 1090 191 -8304 694637
 1091 191 -8304 694137
 1092 191 -8304 693637
 1093 191 -8304 693137
 1094 191 -8304 692637
 1095 191 -8304 692137
 1096 191 -8304 691637
 1097 191 -8304 691137
 1098 191 -8304 690637
 1099 191 -8304 690137
 1100 191 -8304 689637
 1101 191 -8304 689137
 1102 191 -8304 688637
 1103 191 -8304 688137
 1104 191 -8304 687637
 1105 191 -8304 687137
 1106 191 -8304 686637
 1107 191 -8304 686137
 1108 191 -8304 685637
 1109 191 -8304 685137
 1110 191 -8304 684637
 1111 191 -8304 684137
 1112 191 -8304 683637
 1113 191 -8304 683137
 1114 191 -8304 682637
 1115 191 -8304 682137
 1116 191 -8304 681637
 1117 191 -8304 681137
 1118 191 -8304 680637
 1119 191 -8304 680137
 1120 191 -8304 679637
 1121 191 -8304 679137
 1122 191 -8304 678637
 1123 191 -8304 678137
 1124 191 -8304 677637
 1125 191 -8304 677137
 1126 191 -8304 676637
 1127 191 -8304 676137
 1128 191 -8304 675637
 1129 191 -8304 675137
 1130 191 -8304 674637
 1131 191 -8304 674137
 1132 191 -8304 673637
 1133 191 -8304 673137
 1134 191 -8304 672637
 1135 191 -8304 672137
 1136 191 -8304 671637
 1137 191 -8304 671137
 1138 191 -8304 670637
 1139 191 -8304 670137
 1140 191 -8304 669637
 1141 191 -8304 669137
 1142 191 -8304 668637
 1143 191 -8304 668137
 1144 191 -8304 667637
 1145 191 -8304 667137
 1146 191 -8304 666637
 1147 191 -8304 666137
 1148 191 -8304 665637
 1149 191 -8304 665137
 1150 191 -8304 664637
