WKT,fid
195408.95397764 322088.389728104,245
194783.512890146 322319.717253616,246
197213.018336574 318864.194179849,247
194017.256973413 322949.217549397,248
193464.065421996 321980.959722361,249
192745.530716797 323874.093064937,250
190902.310620027 326392.97467722,251
190750.726911787 325076.376540543,252
190712.586935061 325942.983260298,253
190371.678776678 326728.698340091,254
190134.634603733 325805.346857381,255
189866.717792094 325667.002925882,256
189520.777232192 322984.58561215,257
189584.755484923 325484.669982794,258
188949.875631633 328049.592694834,259
187619.778936263 328865.336641145,260
187244.346624957 328614.70857499,261
181419.021690824 320072.032965705,262
184464.252852645 319486.411588432,263
183279.996289714 321126.151444797,264
184256.031918503 321074.096211261,265
185713.578457494 321893.966139444,266
186689.614086283 318263.11360035,267
188857.923987671 311338.367842718,268
188192.32122855 309693.198758853,269
189272.355894294 308625.722635734,270
187878.357662927 316135.73112544,271
189485.851118917 315708.740676192,272
192600.369689899 315558.038164693,273
194371.124200014 313875.193452953,274
194936.258618135 315407.335653194,275
191206.371458532 312167.231655963,276
190239.363676413 309818.784185102,277
190729.146838785 308261.524899611,278
194119.953347515 309416.910821105,279
196644.220415125 308223.849271737,280
193877.782783898 311940.34065254,281
191005.016158446 314098.107584546,282
188045.548129137 318837.610511281,283
182668.335255629 319941.333062731,284
184719.187613569 320125.383915367,285
185521.123471481 319507.49891009,286
188492.230092599 310528.446599366,287
188437.323612628 311403.636816554,288
188168.933552326 310839.771460506,289
188843.602144278 312149.711938311,290
188617.071084207 311763.131759711,291
189109.529910449 312634.78388216,292
190485.952329796 311795.141583416,293
191510.266688381 313070.609943384,294
192285.889339712 312770.210059376,295
192564.128576539 311997.049702176,296
192684.780988969 311497.20399354,297
191901.771455243 313563.068769626,298
192290.813927975 313400.557356966,299
190759.266978361 313511.360592871,300
190830.673508166 314668.638834541,301
191512.728982512 314796.678129364,302
191502.879805987 314215.576714398,303
193243.721756754 313821.609653404,304
187811.446799336 317577.635222648,305
191211.024814562 317475.306787407,306
192632.253081797 317941.46965906,307
193100.63107369 308665.288304337,308
192618.193367352 310448.681623272,309
191482.199347373 307370.569389586,310
192002.677877513 307963.253033734,311
192246.37013729 308598.056327721,312
192613.412800164 309103.492125776,313
195024.051807541 308509.547149818,314
194517.248085136 310527.311001641,315
195673.495441788 309581.290437107,316
196710.295757463 309022.278285337,317
199323.797014028 308272.150868005,318
199008.456825851 307459.910989365,319
198067.214142956 307364.353356584,320
193537.782349129 307713.138716235,321
192768.54340524 309614.73560858,322
199077.77546686 307769.112923452,323
191131.807930964 312469.007277733,324
194279.690494472 313847.444391199,325
194829.61595469 315394.345897797,326
191807.791547304 317687.435600578,327
192237.314328741 310791.555154422,328
